ticker,industry,run_time
MCG,construction__materials,2024-06-19 01:07:47
XDT,construction__materials,2024-06-19 01:07:47
NDX,construction__materials,2024-06-19 01:07:47
VXB,construction__materials,2024-06-19 01:07:47
UIC,construction__materials,2024-06-19 01:07:47
UMC,construction__materials,2024-06-19 01:07:47
X77,construction__materials,2024-06-19 01:07:47
TMX,construction__materials,2024-06-19 01:07:47
BAX,construction__materials,2024-06-19 01:07:47
V15,construction__materials,2024-06-19 01:07:47
VIW,construction__materials,2024-06-19 01:07:47
TTZ,construction__materials,2024-06-19 01:07:47
S72,construction__materials,2024-06-19 01:07:47
S74,construction__materials,2024-06-19 01:07:47
TS5,construction__materials,2024-06-19 01:07:47
CT5,construction__materials,2024-06-19 01:07:47
XVC,construction__materials,2024-06-19 01:07:47
BM9,construction__materials,2024-06-19 01:07:47
BMN,construction__materials,2024-06-19 01:07:47
CDG,construction__materials,2024-06-19 01:07:47
CHC,construction__materials,2024-06-19 01:07:47
CID,construction__materials,2024-06-19 01:07:47
CIP,construction__materials,2024-06-19 01:07:47
DCR,construction__materials,2024-06-19 01:07:47
TCK,construction__materials,2024-06-19 01:07:47
CH5,construction__materials,2024-06-19 01:07:47
TBT,construction__materials,2024-06-19 01:07:47
SD6,construction__materials,2024-06-19 01:07:47
SDH,construction__materials,2024-06-19 01:07:47
SIC,construction__materials,2024-06-19 01:07:47
SJC,construction__materials,2024-06-19 01:07:47
X18,construction__materials,2024-06-19 01:07:47
SNZ,construction__materials,2024-06-19 01:07:47
SJG,construction__materials,2024-06-19 01:07:47
VCX,construction__materials,2024-06-19 01:07:47
HPP,construction__materials,2024-06-19 01:07:47
HU3,construction__materials,2024-06-19 01:07:47
HVH,construction__materials,2024-06-19 01:07:47
I10,construction__materials,2024-06-19 01:07:47
KPF,construction__materials,2024-06-19 01:07:47
CTD,construction__materials,2024-06-19 01:07:47
DGT,construction__materials,2024-06-19 01:07:47
DID,construction__materials,2024-06-19 01:07:47
